TIME,CPI,GDP,UR,IR,LR10,LR10-IR,EXRATE
1998-Q1,1.462294,4.62346,4.633333,,,,
1998-Q2,1.602164,4.067661,4.4,,,,
1998-Q3,1.595855,4.104639,4.533333,,,,
1998-Q4,1.548307,4.998974,4.433333,,,,
1999-Q1,1.667696,4.800728,4.3,4.733333333,0.25,4.983333333,1.122666667
1999-Q2,2.109359,4.649637,4.266667,4.746666667,0.7933333333,5.54,1.056933333
1999-Q3,2.345981,4.598207,4.233333,5.093333333,0.79,5.883333333,1.049066667
1999-Q4,2.622484,4.694708,4.066667,5.306666667,0.8333333333,6.14,1.038133333
2000-Q1,3.240178,4.166983,4.033333,5.676666667,0.8033333333,6.48,0.9869333333
2000-Q2,3.329322,5.266458,3.933333,6.273333333,-0.09666666667,6.176666667,0.9337666667
2000-Q3,3.508073,4.083183,4,6.52,-0.6266666667,5.893333333,0.9042
2000-Q4,3.4271,2.888837,3.9,6.473333333,-0.9066666667,5.566666667,0.8686666667
2001-Q1,3.393488,2.29952,4.233333,5.593333333,-0.5433333333,5.05,0.9221333333
2001-Q2,3.377329,0.935477,4.4,4.326666667,0.9433333333,5.27,0.8736
2001-Q3,2.695937,0.494936,4.833333,3.496666667,1.483333333,4.98,0.8914333333
2001-Q4,1.857882,0.205059,5.5,2.133333333,2.636666667,4.77,0.8948333333
2002-Q1,1.252134,1.41577,5.7,1.733333333,3.343333333,5.076666667,0.8768333333
2002-Q2,1.295531,1.437417,5.833333,1.75,3.35,5.1,0.9197
2002-Q3,1.59385,2.254915,5.733333,1.74,2.52,4.26,0.9840666667
2002-Q4,2.200075,2.036158,5.866667,1.443333333,2.563333333,4.006666667,1.000633333
2003-Q1,2.866779,1.629193,5.866667,1.25,2.67,3.92,1.073466667
2003-Q2,2.131603,2.009618,6.133333,1.246666667,2.373333333,3.62,1.1364
2003-Q3,2.196383,3.215548,6.133333,1.016666667,3.216666667,4.233333333,1.126233333
2003-Q4,1.895124,4.355909,5.833333,0.9966666667,3.29,4.286666667,1.190733333
2004-Q1,1.785064,4.414789,5.7,1.003333333,3.016666667,4.02,1.2513
2004-Q2,2.867514,4.213015,5.6,1.01,3.59,4.6,1.2045
2004-Q3,2.727108,3.427956,5.433333,1.433333333,2.87,4.303333333,1.2227
2004-Q4,3.322499,3.117077,5.433333,1.95,2.223333333,4.173333333,1.297
2005-Q1,3.042233,3.620329,5.3,2.47,1.826666667,4.296666667,1.3107
2005-Q2,2.946366,3.403569,5.1,2.943333333,1.216666667,4.16,1.259833333
2005-Q3,3.83263,3.333141,4.966667,3.46,0.7533333333,4.213333333,1.219
2005-Q4,3.739951,3.032171,4.966667,3.98,0.51,4.49,1.189066667
2006-Q1,3.6471,3.170415,4.733333,4.456666667,0.1133333333,4.57,1.203133333
2006-Q2,4.010283,2.941571,4.633333,4.906666667,0.1633333333,5.07,1.2567
2006-Q3,3.335591,2.174674,4.633333,5.246666667,-0.35,4.896666667,1.273766667
2006-Q4,1.937332,2.389831,4.433333,5.246666667,-0.6166666667,4.63,1.290333333
2007-Q1,2.424095,1.236758,4.5,5.256666667,-0.5766666667,4.68,1.310633333
2007-Q2,2.650684,1.707381,4.5,5.25,-0.4033333333,4.846666667,1.3484
2007-Q3,2.360478,2.300275,4.666667,5.073333333,-0.3433333333,4.73,1.3754
2007-Q4,3.974384,1.867921,4.8,4.496666667,-0.2366666667,4.26,1.449166667
2008-Q1,4.095428,1.110281,5,3.176666667,0.4866666667,3.663333333,1.500233333
2008-Q2,4.379385,0.84037,5.333333,2.086666667,1.8,3.886666667,1.562333333
2008-Q3,5.302814,-0.313954,6,1.94,1.923333333,3.863333333,1.501866667
2008-Q4,1.601687,-2.766846,6.866667,0.5066666667,2.746666667,3.253333333,1.317366667
2009-Q1,-0.04023253,-3.455455,8.266666,0.1833333333,2.553333333,2.736666667,1.303033333
2009-Q2,-1.150445,-4.061911,9.3,0.18,3.133333333,3.313333333,1.361966667
2009-Q3,-1.62336,-3.284402,9.633333,0.1566666667,3.36,3.516666667,1.4311
2009-Q4,1.443934,-0.24079,9.933333,0.12,3.34,3.46,1.476933333
2010-Q1,2.360525,1.598609,9.833333,0.1333333333,3.583333333,3.716666667,1.383866667
2010-Q2,1.767765,2.7188,9.633333,0.1933333333,3.296666667,3.49,1.273433333
2010-Q3,1.175609,3.075855,9.466666,0.1866666667,2.6,2.786666667,1.2939
2010-Q4,1.270248,2.73073,9.5,0.1866666667,2.676666667,2.863333333,1.3592
2011-Q1,2.141127,1.893213,9.033334,0.1566666667,3.303333333,3.46,1.368233333
2011-Q2,3.430395,1.652663,9.066667,0.09333333333,3.116666667,3.21,1.439933333
2011-Q3,3.756174,1.18285,9,0.08333333333,2.343333333,2.426666667,1.411833333
2011-Q4,3.293777,1.682174,8.633333,0.07333333333,1.973333333,2.046666667,1.348166667
2012-Q1,2.815192,2.75312,8.266666,0.1033333333,1.933333333,2.036666667,1.311866667
2012-Q2,1.889765,2.487058,8.2,0.1533333333,1.67,1.823333333,1.283566667
2012-Q3,1.697784,2.394632,8.033334,0.1433333333,1.5,1.643333333,1.2523
2012-Q4,1.889365,1.277131,7.8,0.16,1.546666667,1.706666667,1.297666667
2013-Q1,1.681829,1.313845,7.733333,0.1433333333,1.806666667,1.95,1.320133333
2013-Q2,1.39285,1.036296,7.533333,0.1166666667,1.88,1.996666667,1.306833333
2013-Q3,1.553359,1.69367,7.266667,0.08333333333,2.626666667,2.71,1.325533333
2013-Q4,1.233471,2.662455,6.933333,0.08666666667,2.66,2.746666667,1.3615
2014-Q1,1.405456,1.646667,6.666667,0.07333333333,2.69,2.763333333,1.370366667
2014-Q2,2.050846,2.443047,6.2,0.09333333333,2.53,2.623333333,1.371466667
2014-Q3,1.783154,2.897457,6.1,0.09,2.406666667,2.496666667,1.324566667
2014-Q4,1.248028,2.487036,5.7,0.1,2.18,2.28,1.2493
2015-Q1,-0.06269593,3.314917,5.533333,0.11,1.856666667,1.966666667,1.126133333
2015-Q2,-0.03827201,2.977209,5.4,0.1233333333,2.043333333,2.166666667,1.107166667
2015-Q3,0.1095034,2.239274,5.1,0.1366666667,2.083333333,2.22,1.112066667
2015-Q4,0.4662646,1.878085,5,0.16,2.03,2.19,1.0948
2016-Q1,1.080267,1.573545,4.933333,0.36,1.56,1.92,1.1027
2016-Q2,1.047063,1.275788,4.866667,0.3733333333,1.38,1.753333333,1.129666667
